Time,Temperature
13-Jul-2023 06:02:21,24.4141
13-Jul-2023 06:02:31,24.4219
13-Jul-2023 06:02:41,24.4141
13-Jul-2023 06:02:51,24.4141
13-Jul-2023 06:03:01,24.4375
13-Jul-2023 06:03:11,24.4531
13-Jul-2023 06:03:21,24.4844
13-Jul-2023 06:03:31,24.4766
13-Jul-2023 06:03:41,24.4844
13-Jul-2023 06:03:51,24.4609
13-Jul-2023 06:04:01,24.4688
13-Jul-2023 06:04:11,24.5078
13-Jul-2023 06:04:21,24.5625
13-Jul-2023 06:04:32,24.5625
13-Jul-2023 06:04:42,24.5859
13-Jul-2023 06:04:52,24.6328
13-Jul-2023 06:05:02,24.6641
13-Jul-2023 06:05:12,24.6484
13-Jul-2023 06:05:22,24.7109
13-Jul-2023 06:05:32,24.6406
13-Jul-2023 06:05:42,24.6016
13-Jul-2023 06:05:52,24.625
13-Jul-2023 06:06:02,24.5703
13-Jul-2023 06:06:12,24.6484
13-Jul-2023 06:06:22,24.6484
13-Jul-2023 06:06:32,24.6172
13-Jul-2023 06:06:42,24.6172
13-Jul-2023 06:06:52,24.625
13-Jul-2023 06:07:02,24.625
13-Jul-2023 06:07:12,24.6172
13-Jul-2023 06:07:22,24.6172
13-Jul-2023 06:07:32,24.6172
13-Jul-2023 06:07:42,24.5703
13-Jul-2023 06:07:52,24.5859
13-Jul-2023 06:08:02,24.6172
13-Jul-2023 06:08:12,24.6406
13-Jul-2023 06:08:22,24.625
13-Jul-2023 06:08:32,24.6484
13-Jul-2023 06:08:42,24.6172
13-Jul-2023 06:08:52,24.6016
13-Jul-2023 06:09:02,24.6172
13-Jul-2023 06:09:12,24.6406
13-Jul-2023 06:09:22,24.6797
13-Jul-2023 06:09:32,24.6562
13-Jul-2023 06:09:42,24.6562
13-Jul-2023 06:09:52,24.6484
13-Jul-2023 06:10:02,24.6328
13-Jul-2023 06:10:12,24.625
13-Jul-2023 06:10:22,24.625
13-Jul-2023 06:10:32,24.6562
13-Jul-2023 06:10:42,24.6641
13-Jul-2023 06:10:52,24.6562
13-Jul-2023 06:11:02,24.6953
13-Jul-2023 06:11:12,24.6641
13-Jul-2023 06:11:22,24.6641
13-Jul-2023 06:11:32,24.6562
13-Jul-2023 06:11:42,24.6641
13-Jul-2023 06:11:52,24.6875
13-Jul-2023 06:12:02,24.6562
13-Jul-2023 06:12:12,24.6562
13-Jul-2023 06:12:22,24.6562
13-Jul-2023 06:12:32,24.6562
13-Jul-2023 06:12:42,24.6641
13-Jul-2023 06:12:52,24.6641
13-Jul-2023 06:13:02,24.6562
13-Jul-2023 06:13:12,24.6641
13-Jul-2023 06:13:22,24.6406
13-Jul-2023 06:13:32,24.6562
13-Jul-2023 06:13:42,24.6406
13-Jul-2023 06:13:52,24.6797
13-Jul-2023 06:14:02,24.6562
13-Jul-2023 06:14:12,24.6484
13-Jul-2023 06:14:22,24.6562
13-Jul-2023 06:14:32,24.6797
13-Jul-2023 06:14:42,24.6562
13-Jul-2023 06:14:52,24.6484
13-Jul-2023 06:15:02,24.6875
13-Jul-2023 06:15:12,24.6719
13-Jul-2023 06:15:22,24.6719
13-Jul-2023 06:15:32,24.6875
13-Jul-2023 06:15:42,24.6953
13-Jul-2023 06:15:52,24.7031
13-Jul-2023 06:16:02,24.7031
13-Jul-2023 06:16:12,24.6953
13-Jul-2023 06:16:22,24.6875
13-Jul-2023 06:16:32,24.6875
13-Jul-2023 06:16:42,24.6797
13-Jul-2023 06:16:52,24.7031
13-Jul-2023 06:17:02,24.75
13-Jul-2023 06:17:12,24.7422
13-Jul-2023 06:17:22,24.7422
