Time,Temperature
12-Jul-2023 07:33:03,22.1562
12-Jul-2023 07:33:08,22.1797
12-Jul-2023 07:33:13,22.1641
12-Jul-2023 07:33:18,22.1875
12-Jul-2023 07:33:23,22.1875
12-Jul-2023 07:33:28,22.1797
12-Jul-2023 07:33:33,22.1953
12-Jul-2023 07:33:38,22.2109
12-Jul-2023 07:33:43,22.2266
12-Jul-2023 07:33:48,22.2266
12-Jul-2023 07:33:53,22.2188
12-Jul-2023 07:33:58,22.2422
12-Jul-2023 07:34:03,22.2422
12-Jul-2023 07:34:08,22.25
12-Jul-2023 07:34:13,22.25
12-Jul-2023 07:34:18,22.2578
12-Jul-2023 07:34:23,22.2812
12-Jul-2023 07:34:28,22.2969
12-Jul-2023 07:34:33,22.3047
12-Jul-2023 07:34:38,22.3203
12-Jul-2023 07:34:43,22.3203
12-Jul-2023 07:34:48,22.3281
12-Jul-2023 07:34:53,22.3516
12-Jul-2023 07:34:58,22.3516
12-Jul-2023 07:35:03,22.3672
12-Jul-2023 07:35:08,22.3672
12-Jul-2023 07:35:13,22.375
12-Jul-2023 07:35:18,22.3672
12-Jul-2023 07:35:23,22.375
12-Jul-2023 07:35:28,22.3828
12-Jul-2023 07:35:33,22.4062
12-Jul-2023 07:35:38,22.4219
12-Jul-2023 07:35:43,22.4141
12-Jul-2023 07:35:48,22.4219
12-Jul-2023 07:35:53,22.4141
12-Jul-2023 07:35:58,22.4375
12-Jul-2023 07:36:03,22.4375
12-Jul-2023 07:36:08,22.4531
12-Jul-2023 07:36:13,22.4375
12-Jul-2023 07:36:18,22.4609
12-Jul-2023 07:36:23,22.4609
12-Jul-2023 07:36:28,22.4609
12-Jul-2023 07:36:33,22.4688
12-Jul-2023 07:36:38,22.4766
12-Jul-2023 07:36:43,22.4688
12-Jul-2023 07:36:48,22.4609
12-Jul-2023 07:36:53,22.4766
12-Jul-2023 07:36:58,22.5
12-Jul-2023 07:37:03,22.5078
12-Jul-2023 07:37:08,22.5312
12-Jul-2023 07:37:13,22.5469
12-Jul-2023 07:37:18,22.5469
