Time,Temperature
17-Jul-2023 08:43:57,23.2109
17-Jul-2023 08:44:07,23.2188
17-Jul-2023 08:44:17,23.2656
17-Jul-2023 08:44:27,23.2891
17-Jul-2023 08:44:37,23.3047
17-Jul-2023 08:44:47,23.3125
17-Jul-2023 08:44:57,23.3281
17-Jul-2023 08:45:07,23.3594
17-Jul-2023 08:45:17,23.375
17-Jul-2023 08:45:27,23.4141
17-Jul-2023 08:45:37,23.4297
17-Jul-2023 08:45:47,23.4453
17-Jul-2023 08:45:57,23.5312
17-Jul-2023 08:46:07,23.5312
17-Jul-2023 08:46:17,23.5625
17-Jul-2023 08:46:27,23.6016
17-Jul-2023 08:46:37,23.5781
17-Jul-2023 08:46:47,23.5859
17-Jul-2023 08:46:57,23.5625
17-Jul-2023 08:47:07,23.5703
17-Jul-2023 08:47:17,23.5547
17-Jul-2023 08:47:27,23.5703
17-Jul-2023 08:47:37,23.5781
17-Jul-2023 08:47:47,23.5625
17-Jul-2023 08:47:57,23.5781
17-Jul-2023 08:48:07,23.5859
17-Jul-2023 08:48:17,23.6328
17-Jul-2023 08:48:27,23.6016
17-Jul-2023 08:48:37,23.6172
17-Jul-2023 08:48:47,23.6016
17-Jul-2023 08:48:57,23.6484
17-Jul-2023 08:49:07,23.6484
17-Jul-2023 08:49:17,23.6953
17-Jul-2023 08:49:27,23.7266
17-Jul-2023 08:49:36,23.6562
17-Jul-2023 08:49:46,23.6719
17-Jul-2023 08:49:56,23.6641
17-Jul-2023 08:50:06,23.6562
17-Jul-2023 08:50:16,23.6875
17-Jul-2023 08:50:26,23.7578
17-Jul-2023 08:50:36,23.8203
17-Jul-2023 08:50:46,23.8594
17-Jul-2023 08:50:56,23.8984
17-Jul-2023 08:51:06,23.8984
17-Jul-2023 08:51:16,23.8984
17-Jul-2023 08:51:26,23.8906
17-Jul-2023 08:51:36,23.8828
17-Jul-2023 08:51:46,23.9062
17-Jul-2023 08:51:56,23.8828
17-Jul-2023 08:52:06,23.8281
17-Jul-2023 08:52:16,23.8594
17-Jul-2023 08:52:26,23.8984
17-Jul-2023 08:52:36,23.8906
17-Jul-2023 08:52:46,23.9141
17-Jul-2023 08:52:56,23.8984
17-Jul-2023 08:53:06,23.9141
17-Jul-2023 08:53:16,23.9375
17-Jul-2023 08:53:26,23.9141
17-Jul-2023 08:53:36,23.9844
17-Jul-2023 08:53:46,24.0234
17-Jul-2023 08:53:56,24.0391
17-Jul-2023 08:54:06,24.0547
17-Jul-2023 08:54:16,24.0547
